country_iso3,country_name,year,EMRI_Score,Market_Readiness_Tier,Layers_Passed,Layer1_Pass,Layer2_Pass,Layer3_Pass
ABW,Aruba,2018,73.47426750169123,Tier_2_Good,2,True,True,False
ABW,Aruba,2019,74.3812004692611,Tier_2_Good,2,True,True,False
ABW,Aruba,2020,70.1227377622208,Tier_2_Good,2,True,True,False
ABW,Aruba,2021,73.21324025438678,Tier_2_Good,2,True,True,False
ABW,Aruba,2022,74.17884330725404,Tier_2_Good,2,True,True,False
AFE,Africa Eastern and Southern,2018,29.143426577641712,Tier_4_Low,0,False,False,False
AFE,Africa Eastern and Southern,2019,29.709019545967283,Tier_4_Low,0,False,False,False
AFE,Africa Eastern and Southern,2020,29.430209576257035,Tier_4_Low,0,False,False,False
AFE,Africa Eastern and Southern,2021,30.659725565078396,Tier_4_Low,0,False,False,False
AFE,Africa Eastern and Southern,2022,31.76620869505478,Tier_4_Low,0,False,False,False
AFG,Afghanistan,2018,13.105875092443348,Tier_4_Low,0,False,False,False
AFG,Afghanistan,2019,13.18983434085985,Tier_4_Low,0,False,False,False
AFG,Afghanistan,2020,12.728720263727514,Tier_4_Low,0,False,False,False
AFG,Afghanistan,2021,10.071238831830064,Tier_4_Low,0,False,False,False
AFG,Afghanistan,2022,8.612585403568682,Tier_4_Low,0,False,False,False
AFW,Africa Western and Central,2018,34.594934999130466,Tier_4_Low,0,False,False,False
AFW,Africa Western and Central,2019,36.73928325025665,Tier_4_Low,0,False,False,False
AFW,Africa Western and Central,2020,37.29696664779626,Tier_4_Low,0,False,False,False
AFW,Africa Western and Central,2021,38.877081597936446,Tier_4_Low,0,False,False,False
AFW,Africa Western and Central,2022,39.96036840509939,Tier_4_Low,0,False,False,False
AGO,Angola,2018,42.55667870722893,Tier_4_Low,0,False,False,False
AGO,Angola,2019,43.218896762120316,Tier_4_Low,0,False,False,False
AGO,Angola,2020,41.44029522429759,Tier_4_Low,0,False,False,False
AGO,Angola,2021,43.32238618781367,Tier_4_Low,0,False,False,False
AGO,Angola,2022,46.105198758917155,Tier_4_Low,0,False,False,False
ALB,Albania,2018,53.50487978818364,,1,False,True,False
ALB,Albania,2019,55.02403669162434,Tier_2_Good,2,True,True,False
ALB,Albania,2020,55.987402968797454,Tier_2_Good,2,True,True,False
ALB,Albania,2021,59.194318138620105,Tier_2_Good,2,True,True,False
ALB,Albania,2022,61.264907640843774,Tier_2_Good,2,True,True,False
AND,Andorra,2018,82.24791890938046,Tier_2_Good,2,True,True,False
AND,Andorra,2019,81.90269070008193,Tier_2_Good,2,True,True,False
AND,Andorra,2020,81.86051587593737,Tier_2_Good,2,True,True,False
AND,Andorra,2021,82.52942904779101,Tier_2_Good,2,True,True,False
AND,Andorra,2022,83.04386017728025,Tier_2_Good,2,True,True,False
ARB,Arab World,2018,45.17203164630303,,1,False,True,False
ARB,Arab World,2019,47.19710527604087,,1,False,True,False
ARB,Arab World,2020,47.7094941220719,,1,False,True,False
ARB,Arab World,2021,50.1828513118632,,1,False,True,False
ARB,Arab World,2022,52.84097236403385,,1,False,True,False
ARE,United Arab Emirates,2018,82.87099155836626,Tier_2_Good,2,True,True,False
ARE,United Arab Emirates,2019,83.5451897741178,Tier_2_Good,2,True,True,False
ARE,United Arab Emirates,2020,83.11134204685331,Tier_2_Good,2,True,True,False
ARE,United Arab Emirates,2021,82.89177789558565,Tier_2_Good,2,True,True,False
ARE,United Arab Emirates,2022,84.0938346834978,Tier_2_Good,2,True,True,False
ARG,Argentina,2018,68.4395450800302,Tier_2_Good,2,True,True,False
ARG,Argentina,2019,68.15432299325047,Tier_2_Good,2,True,True,False
ARG,Argentina,2020,67.81371084976357,,1,False,True,False
ARG,Argentina,2021,70.01384370719467,Tier_2_Good,2,True,True,False
ARG,Argentina,2022,72.16512984672838,Tier_2_Good,2,True,True,False
ARM,Armenia,2018,53.85904566776561,Tier_3_Moderate,1,True,False,False
ARM,Armenia,2019,53.779142875375086,Tier_4_Low,0,False,False,False
ARM,Armenia,2020,56.24587457159194,Tier_3_Moderate,1,True,False,False
ARM,Armenia,2021,57.577487496716095,Tier_3_Moderate,1,True,False,False
ARM,Armenia,2022,58.65949796673968,Tier_2_Good,2,True,True,False
ASM,American Samoa,2018,63.34510817030217,,1,False,True,False
ASM,American Samoa,2019,66.11764191219449,Tier_2_Good,2,True,True,False
ASM,American Samoa,2020,68.95746198534734,,1,False,True,False
ASM,American Samoa,2021,69.18708081134334,,1,False,True,False
ASM,American Samoa,2022,70.27134689441827,,1,False,True,False
ATG,Antigua and Barbuda,2018,58.13859807308334,,1,False,True,False
ATG,Antigua and Barbuda,2019,58.414036936412884,,1,False,True,False
ATG,Antigua and Barbuda,2020,56.895140004989905,,1,False,True,False
ATG,Antigua and Barbuda,2021,58.03641345502573,,1,False,True,False
ATG,Antigua and Barbuda,2022,59.77004451800605,,1,False,True,False
AUS,Australia,2018,83.67655397172135,Tier_2_Good,2,True,True,False
AUS,Australia,2019,84.65393425508461,Tier_2_Good,2,True,True,False
AUS,Australia,2020,84.4996451716486,Tier_2_Good,2,True,True,False
AUS,Australia,2021,86.09227879907337,Tier_2_Good,2,True,True,False
AUS,Australia,2022,86.50314190201352,Tier_2_Good,2,True,True,False
AUT,Austria,2018,78.14895525561492,Tier_2_Good,2,True,True,False
AUT,Austria,2019,78.32807391176723,Tier_2_Good,2,True,True,False
AUT,Austria,2020,78.04457378554392,Tier_2_Good,2,True,True,False
AUT,Austria,2021,80.09675502204288,Tier_2_Good,2,True,True,False
AUT,Austria,2022,80.55704198297738,Tier_2_Good,2,True,True,False
AZE,Azerbaijan,2018,57.01143349373932,Tier_3_Moderate,1,True,False,False
AZE,Azerbaijan,2019,57.91111302931601,Tier_3_Moderate,1,True,False,False
AZE,Azerbaijan,2020,58.58985210061221,Tier_3_Moderate,1,True,False,False
AZE,Azerbaijan,2021,59.83642132249665,Tier_2_Good,2,True,True,False
AZE,Azerbaijan,2022,62.41552623135165,Tier_2_Good,2,True,True,False
BDI,Burundi,2018,10.989713663167116,Tier_4_Low,0,False,False,False
BDI,Burundi,2019,11.520738752508448,Tier_4_Low,0,False,False,False
BDI,Burundi,2020,11.859847243791371,Tier_4_Low,0,False,False,False
BDI,Burundi,2021,12.685214978988732,Tier_4_Low,0,False,False,False
BDI,Burundi,2022,13.874137568647068,Tier_4_Low,0,False,False,False
BEL,Belgium,2018,80.48064740161709,Tier_2_Good,2,True,True,False
BEL,Belgium,2019,81.08322808455556,Tier_2_Good,2,True,True,False
BEL,Belgium,2020,81.19125346614473,Tier_2_Good,2,True,True,False
BEL,Belgium,2021,82.4469681017349,Tier_2_Good,2,True,True,False
BEL,Belgium,2022,82.99962890758691,Tier_2_Good,2,True,True,False
BEN,Benin,2018,30.748910591426828,Tier_4_Low,0,False,False,False
BEN,Benin,2019,31.430182476040663,Tier_4_Low,0,False,False,False
BEN,Benin,2020,32.18249886583672,Tier_4_Low,0,False,False,False
BEN,Benin,2021,34.68600054283872,Tier_4_Low,0,False,False,False
BEN,Benin,2022,35.48142436628582,Tier_4_Low,0,False,False,False
BFA,Burkina Faso,2018,20.879250817055333,Tier_4_Low,0,False,False,False
BFA,Burkina Faso,2019,21.13547563180485,Tier_4_Low,0,False,False,False
BFA,Burkina Faso,2020,22.103443935225734,Tier_4_Low,0,False,False,False
BFA,Burkina Faso,2021,23.854483789585753,Tier_4_Low,0,False,False,False
BFA,Burkina Faso,2022,25.329617112117823,Tier_4_Low,0,False,False,False
BGD,Bangladesh,2018,28.94019861260043,Tier_4_Low,0,False,False,False
BGD,Bangladesh,2019,31.070047743071097,Tier_4_Low,0,False,False,False
BGD,Bangladesh,2020,33.11894218596598,Tier_4_Low,0,False,False,False
BGD,Bangladesh,2021,34.934325452089624,Tier_4_Low,0,False,False,False
BGD,Bangladesh,2022,36.560277792067915,Tier_4_Low,0,False,False,False
BGR,Bulgaria,2018,59.907531989380686,,1,False,True,False
BGR,Bulgaria,2019,61.511266282388895,,1,False,True,False
BGR,Bulgaria,2020,62.12016845051649,Tier_2_Good,2,True,True,False
BGR,Bulgaria,2021,64.67934015417661,Tier_2_Good,2,True,True,False
BGR,Bulgaria,2022,66.61524820447394,Tier_2_Good,2,True,True,False
BHR,Bahrain,2018,80.16466404983846,,1,False,True,False
BHR,Bahrain,2019,80.71764804056893,,1,False,True,False
BHR,Bahrain,2020,79.80589927506693,,1,False,True,False
BHR,Bahrain,2021,80.53237496048527,,1,False,True,False
BHR,Bahrain,2022,81.5178204460149,,1,False,True,False
BHS,"Bahamas, The",2018,78.05994740485173,Tier_2_Good,2,True,True,False
BHS,"Bahamas, The",2019,80.31043494198617,Tier_2_Good,2,True,True,False
BHS,"Bahamas, The",2020,78.17583141921878,Tier_2_Good,2,True,True,False
BHS,"Bahamas, The",2021,79.52520898726986,Tier_2_Good,2,True,True,False
BHS,"Bahamas, The",2022,80.9679178024151,Tier_2_Good,2,True,True,False
BIH,Bosnia and Herzegovina,2018,52.04995221628356,,1,False,True,False
BIH,Bosnia and Herzegovina,2019,52.39550973445511,,1,False,True,False
BIH,Bosnia and Herzegovina,2020,53.195881887269735,,1,False,True,False
BIH,Bosnia and Herzegovina,2021,55.088439675155556,,1,False,True,False
BIH,Bosnia and Herzegovina,2022,56.70641194502199,,1,False,True,False
BLR,Belarus,2018,62.205228195459526,Tier_2_Good,2,True,True,False
BLR,Belarus,2019,63.89259531680639,Tier_2_Good,2,True,True,False
BLR,Belarus,2020,64.35732897023104,Tier_2_Good,2,True,True,False
BLR,Belarus,2021,65.76670846091395,Tier_2_Good,2,True,True,False
BLR,Belarus,2022,66.83523980054176,Tier_2_Good,2,True,True,False
BLZ,Belize,2018,48.5924314047954,,1,False,True,False
BLZ,Belize,2019,50.536403904673705,,1,False,True,False
BLZ,Belize,2020,48.90277091994653,,1,False,True,False
BLZ,Belize,2021,52.38886148396106,,1,False,True,False
BLZ,Belize,2022,52.623446627426766,,1,False,True,False
